,Airports,Periods,variable,value,geometry
3393,TOTAL,2021-10-01,West Asia,104291,
3394,TOTAL,2021-11-01,West Asia,112633,
3395,TOTAL,2021-12-01,West Asia,128503,
3396,TOTAL,2022-01-01,West Asia,101785,
3397,TOTAL,2022-02-01,West Asia,112655,
3398,TOTAL,2022-03-01,West Asia,156282,
3399,TOTAL,2022-04-01,West Asia,154179,
3400,TOTAL,2022-05-01,West Asia,167706,
3401,TOTAL,2022-06-01,West Asia,164309,
3402,TOTAL,2022-07-01,West Asia,197339,
3403,TOTAL,2022-08-01,West Asia,207584,
3404,TOTAL,2022-09-01,West Asia,194317,
3405,TOTAL,2022-10-01,West Asia,196546,
3406,TOTAL,2022-11-01,West Asia,191074,
3407,TOTAL,2022-12-01,West Asia,200973,
3408,TOTAL,2023-01-01,West Asia,191177,
3409,TOTAL,2023-02-01,West Asia,180221,
3410,TOTAL,2023-03-01,West Asia,204809,
3411,TOTAL,2023-04-01,West Asia,207767,
3412,TOTAL,2023-05-01,West Asia,206441,
3413,TOTAL,2023-06-01,West Asia,210462,
3414,TOTAL,2023-07-01,West Asia,250588,
3415,TOTAL,2023-08-01,West Asia,255141,
3696,TOTAL,2019-01-01,South East Asia,198530,
3697,TOTAL,2019-02-01,South East Asia,171647,
3698,TOTAL,2019-03-01,South East Asia,178766,
3699,TOTAL,2019-04-01,South East Asia,153991,
3700,TOTAL,2019-05-01,South East Asia,132977,
3701,TOTAL,2019-06-01,South East Asia,130830,
3702,TOTAL,2019-07-01,South East Asia,140403,
3703,TOTAL,2019-08-01,South East Asia,144489,
3704,TOTAL,2019-09-01,South East Asia,137525,
3705,TOTAL,2019-10-01,South East Asia,138445,
3706,TOTAL,2019-11-01,South East Asia,148528,
3707,TOTAL,2019-12-01,South East Asia,158395,
3708,TOTAL,2020-01-01,South East Asia,159427,
3709,TOTAL,2020-02-01,South East Asia,141678,
3710,TOTAL,2020-03-01,South East Asia,97016,
3711,TOTAL,2020-04-01,South East Asia,9379,
3712,TOTAL,2020-05-01,South East Asia,11729,
3713,TOTAL,2020-06-01,South East Asia,21433,
3714,TOTAL,2020-07-01,South East Asia,25566,
3715,TOTAL,2020-08-01,South East Asia,17882,
3716,TOTAL,2020-09-01,South East Asia,16689,
3717,TOTAL,2020-10-01,South East Asia,17506,
3718,TOTAL,2020-11-01,South East Asia,22493,
3719,TOTAL,2020-12-01,South East Asia,25330,
3720,TOTAL,2021-01-01,South East Asia,22350,
3721,TOTAL,2021-02-01,South East Asia,18262,
3722,TOTAL,2021-03-01,South East Asia,22014,
3723,TOTAL,2021-04-01,South East Asia,21444,
3724,TOTAL,2021-05-01,South East Asia,21106,
3725,TOTAL,2021-06-01,South East Asia,26362,
3726,TOTAL,2021-07-01,South East Asia,31657,
3727,TOTAL,2021-08-01,South East Asia,33806,
3728,TOTAL,2021-09-01,South East Asia,30401,
3729,TOTAL,2021-10-01,South East Asia,37117,
3730,TOTAL,2021-11-01,South East Asia,47219,
3731,TOTAL,2021-12-01,South East Asia,60260,
3732,TOTAL,2022-01-01,South East Asia,53922,
3733,TOTAL,2022-02-01,South East Asia,50494,
3734,TOTAL,2022-03-01,South East Asia,68398,
3735,TOTAL,2022-04-01,South East Asia,79609,
3736,TOTAL,2022-05-01,South East Asia,101792,
3737,TOTAL,2022-06-01,South East Asia,112717,
3738,TOTAL,2022-07-01,South East Asia,125850,
3739,TOTAL,2022-08-01,South East Asia,121306,
3740,TOTAL,2022-09-01,South East Asia,117274,
3741,TOTAL,2022-10-01,South East Asia,118928,
3742,TOTAL,2022-11-01,South East Asia,134991,
3743,TOTAL,2022-12-01,South East Asia,141236,
3744,TOTAL,2023-01-01,South East Asia,138931,
3745,TOTAL,2023-02-01,South East Asia,118650,
3746,TOTAL,2023-03-01,South East Asia,124402,
3747,TOTAL,2023-04-01,South East Asia,118478,
3748,TOTAL,2023-05-01,South East Asia,128053,
3749,TOTAL,2023-06-01,South East Asia,129750,
3750,TOTAL,2023-07-01,South East Asia,136016,
3751,TOTAL,2023-08-01,South East Asia,129804,
4032,TOTAL,2019-01-01,North East Asia,204231,
4033,TOTAL,2019-02-01,North East Asia,190530,
4034,TOTAL,2019-03-01,North East Asia,209540,
4035,TOTAL,2019-04-01,North East Asia,240408,
4036,TOTAL,2019-05-01,North East Asia,250396,
4037,TOTAL,2019-06-01,North East Asia,249263,
4038,TOTAL,2019-07-01,North East Asia,262937,
4039,TOTAL,2019-08-01,North East Asia,264601,
4040,TOTAL,2019-09-01,North East Asia,254672,
4041,TOTAL,2019-10-01,North East Asia,249039,
4042,TOTAL,2019-11-01,North East Asia,217070,
4043,TOTAL,2019-12-01,North East Asia,209396,
4044,TOTAL,2020-01-01,North East Asia,215342,
4045,TOTAL,2020-02-01,North East Asia,103694,
4046,TOTAL,2020-03-01,North East Asia,45238,
4047,TOTAL,2020-04-01,North East Asia,9329,
4048,TOTAL,2020-05-01,North East Asia,13690,
4049,TOTAL,2020-06-01,North East Asia,18654,
4050,TOTAL,2020-07-01,North East Asia,25986,
4051,TOTAL,2020-08-01,North East Asia,29258,
4052,TOTAL,2020-09-01,North East Asia,31208,
4053,TOTAL,2020-10-01,North East Asia,28167,
4054,TOTAL,2020-11-01,North East Asia,19678,
4055,TOTAL,2020-12-01,North East Asia,20127,
4056,TOTAL,2021-01-01,North East Asia,17449,
4057,TOTAL,2021-02-01,North East Asia,10094,
4058,TOTAL,2021-03-01,North East Asia,15273,
4059,TOTAL,2021-04-01,North East Asia,19979,
4060,TOTAL,2021-05-01,North East Asia,21512,
4061,TOTAL,2021-06-01,North East Asia,26104,
4062,TOTAL,2021-07-01,North East Asia,30958,
4063,TOTAL,2021-08-01,North East Asia,35578,
4064,TOTAL,2021-09-01,North East Asia,33241,
4065,TOTAL,2021-10-01,North East Asia,31955,
4066,TOTAL,2021-11-01,North East Asia,27024,
4067,TOTAL,2021-12-01,North East Asia,26397,
4068,TOTAL,2022-01-01,North East Asia,21930,
4069,TOTAL,2022-02-01,North East Asia,16940,
4070,TOTAL,2022-03-01,North East Asia,17172,
4071,TOTAL,2022-04-01,North East Asia,21855,
4072,TOTAL,2022-05-01,North East Asia,25820,
4073,TOTAL,2022-06-01,North East Asia,27823,
4074,TOTAL,2022-07-01,North East Asia,36383,
4075,TOTAL,2022-08-01,North East Asia,39968,
4076,TOTAL,2022-09-01,North East Asia,43306,
4077,TOTAL,2022-10-01,North East Asia,40365,
4078,TOTAL,2022-11-01,North East Asia,45522,
4079,TOTAL,2022-12-01,North East Asia,51982,
4080,TOTAL,2023-01-01,North East Asia,57987,
4081,TOTAL,2023-02-01,North East Asia,69909,
4082,TOTAL,2023-03-01,North East Asia,88600,
4083,TOTAL,2023-04-01,North East Asia,122131,
4084,TOTAL,2023-05-01,North East Asia,122600,
4085,TOTAL,2023-06-01,North East Asia,137157,
4086,TOTAL,2023-07-01,North East Asia,149807,
4087,TOTAL,2023-08-01,North East Asia,147589,
4368,TOTAL,2019-01-01,Oceania,0,
4369,TOTAL,2019-02-01,Oceania,0,
4370,TOTAL,2019-03-01,Oceania,0,
4371,TOTAL,2019-04-01,Oceania,0,
4372,TOTAL,2019-05-01,Oceania,0,
4373,TOTAL,2019-06-01,Oceania,0,
4374,TOTAL,2019-07-01,Oceania,0,
4375,TOTAL,2019-08-01,Oceania,0,
4376,TOTAL,2019-09-01,Oceania,0,
4377,TOTAL,2019-10-01,Oceania,0,
4378,TOTAL,2019-11-01,Oceania,0,
4379,TOTAL,2019-12-01,Oceania,0,
4380,TOTAL,2020-01-01,Oceania,0,
4381,TOTAL,2020-02-01,Oceania,0,
4382,TOTAL,2020-03-01,Oceania,0,
4383,TOTAL,2020-04-01,Oceania,503,
4384,TOTAL,2020-05-01,Oceania,0,
4385,TOTAL,2020-06-01,Oceania,0,
4386,TOTAL,2020-07-01,Oceania,0,
4387,TOTAL,2020-08-01,Oceania,0,
4388,TOTAL,2020-09-01,Oceania,0,
4389,TOTAL,2020-10-01,Oceania,0,
4390,TOTAL,2020-11-01,Oceania,0,
4391,TOTAL,2020-12-01,Oceania,0,
4392,TOTAL,2021-01-01,Oceania,0,
4393,TOTAL,2021-02-01,Oceania,0,
4394,TOTAL,2021-03-01,Oceania,0,
4395,TOTAL,2021-04-01,Oceania,0,
4396,TOTAL,2021-05-01,Oceania,0,
4397,TOTAL,2021-06-01,Oceania,0,
4398,TOTAL,2021-07-01,Oceania,0,
4399,TOTAL,2021-08-01,Oceania,0,
4400,TOTAL,2021-09-01,Oceania,0,
4401,TOTAL,2021-10-01,Oceania,0,
4402,TOTAL,2021-11-01,Oceania,0,
4403,TOTAL,2021-12-01,Oceania,0,
4404,TOTAL,2022-01-01,Oceania,0,
4405,TOTAL,2022-02-01,Oceania,0,
4406,TOTAL,2022-03-01,Oceania,0,
4407,TOTAL,2022-04-01,Oceania,0,
4408,TOTAL,2022-05-01,Oceania,0,
4409,TOTAL,2022-06-01,Oceania,0,
4410,TOTAL,2022-07-01,Oceania,0,
4411,TOTAL,2022-08-01,Oceania,0,
4412,TOTAL,2022-09-01,Oceania,0,
4413,TOTAL,2022-10-01,Oceania,0,
4414,TOTAL,2022-11-01,Oceania,0,
4415,TOTAL,2022-12-01,Oceania,0,
4416,TOTAL,2023-01-01,Oceania,0,
4417,TOTAL,2023-02-01,Oceania,0,
4418,TOTAL,2023-03-01,Oceania,0,
4419,TOTAL,2023-04-01,Oceania,0,
4420,TOTAL,2023-05-01,Oceania,0,
4421,TOTAL,2023-06-01,Oceania,0,
4422,TOTAL,2023-07-01,Oceania,0,
4423,TOTAL,2023-08-01,Oceania,0,
